"UUID","Title","Admin Units","Location Types","Lat","Lon"
"f090f948-9500-464e-9bd5-e3bfe7483f0f","Gulu PTC Demo PS",,"Primary School",2.7878699303,32.3478012085
"b89435e6-5c4a-401e-b86d-8cf1cd485747","BOSCO ICT and Research Centre, Bardege","Gulu","NGO",2.7863399982,32.2881011963
"30d1ceb8-fe88-4564-a876-a2539ab37e54","Patongo Health Center",,"Health Centre III",2.7702200413,33.3054008484
"4d219ac8-1ee0-44df-967e-d8c19e43b39a","Pajule Health Center","Pader","Health Centre IV",2.9622399807,32.9411010742
"9bb955c6-608c-45e5-b83c-e6ddb314201c","Kisojo","Kyenjojo","Primary School",0.5828800201,30.4995002747
"6432f10f-fe12-4c1d-888f-33b0657da108","Pakuba P/S","Kyenjojo","Primary School",0.6148899794,30.6413993835
"6e4c15d0-e2e4-4cfe-a38e-1c7ae47cc9a4","Rubona","Kyenjojo","Primary School",0.6040999889,30.6399002075
"1245ccef-3746-456e-a08e-de4cf911e1ab","Lwauna Moslem","Mubende","Primary School",0.4966799915,31.1655006409
"00559913-7ae2-4cfc-a6ef-6da5db93b7f5","Mbale","Kyenjojo","Primary School",0.4893899858,30.6847000122
"324dcf73-8759-4bd3-a36a-d6ce9b8ae807","Loroo Piped Water","Amudat","Gfs or Tap",2.1263198853,34.8768005371
"0540b2ce-2b26-4118-aa2a-4986b9b27b6e","Nakapripirit District Headquarters","Nakapiripirit","Government Office",1.8408299685,34.7244987488
"74368df8-a4f2-423f-8e89-61223579f4a8","Hotel Lamak","Gulu","Other Locations",2.7657198906,32.3095016479
"3e570159-cda6-4936-b67b-611d0bfc8e53","Kitovu Hospital","Masaka","Hospital",-0.3370690048,31.9139995575
